response_id,timestamp,region,age_group,gender,occupation,education_level,preferred_tool,satisfaction_rating,would_recommend,support_quality,feature_importance,usage_frequency,feedback,date,hour,day_of_week,month,satisfaction_category,feedback_length,recommendation_score,support_score
Res_0001,2024-03-22 03:01:00,East,25-34,Female,Professional,High School,R,3,Definitely Yes,Excellent,Integration,Weekly,Average experience.,2024-03-22,3,Friday,March,Medium,19,5,5
Res_0002,2024-01-12 18:27:00,North,18-24,Male,Professional,Bachelor'S,Excel,4,Definitely Yes,Very Poor,Integration,Daily,Highly recommended for beginners.,2024-01-12,18,Friday,January,High,33,5,1
Res_0003,2024-03-18 00:35:00,South,55+,Prefer Not To Say,Professional,Phd,Python,3,Not Sure,Good,Performance,Weekly,Average experience.,2024-03-18,0,Monday,March,Medium,19,3,4
Res_0004,2024-02-05 00:48:00,South,45-54,Non-Binary,Business Owner,Bachelor'S,Python,3,Probably Yes,Good,Price,Monthly,Could use some improvements.,2024-02-05,0,Monday,February,Medium,28,4,4
Res_0005,2024-02-13 03:05:00,West,18-24,Non-Binary,Business Owner,Other,Python,5,Definitely Yes,Good,Ease Of Use,Daily,Love the features and support. Python ecosystem is amazing!,2024-02-13,3,Tuesday,February,High,59,5,4
Res_0006,2024-01-06 23:29:00,Central,18-24,Prefer Not To Say,Student,Other,Spss,4,Probably No,Poor,Ease Of Use,Daily,Love the features and support.,2024-01-06,23,Saturday,January,High,30,2,2
Res_0007,2024-03-21 19:56:00,East,55+,Female,Student,High School,Excel,3,Probably Yes,Excellent,Integration,Daily,Could use some improvements.,2024-03-21,19,Thursday,March,Medium,28,4,5
Res_0008,2024-02-07 02:54:00,South,18-24,Prefer Not To Say,Business Owner,Phd,Tableau,5,Definitely Yes,Average,Price,Daily,Love the features and support.,2024-02-07,2,Wednesday,February,High,30,5,3
Res_0009,2024-01-21 11:22:00,South,35-44,Male,Unemployed,Bachelor'S,Spss,4,Not Sure,Excellent,Ease Of Use,Daily,Highly recommended for beginners.,2024-01-21,11,Sunday,January,High,33,3,5
Res_0010,2024-02-01 05:29:00,West,35-44,Female,Business Owner,High School,Python,5,Definitely Yes,Excellent,Integration,Daily,Excellent tool for data analysis. Python ecosystem is amazing!,2024-02-01,5,Thursday,February,High,62,5,5
Res_0011,2024-01-05 10:25:00,East,18-24,Female,Unemployed,Master'S,Python,4,Probably Yes,Excellent,Security,Monthly,Excellent tool for data analysis. Python ecosystem is amazing!,2024-01-05,10,Friday,January,High,62,4,5
Res_0012,2024-03-24 15:25:00,West,25-34,Non-Binary,Professional,Bachelor'S,Python,5,Definitely Yes,Average,Support,Monthly,Highly recommended for beginners. Python ecosystem is amazing!,2024-03-24,15,Sunday,March,High,62,5,3
Res_0013,2024-03-09 08:47:00,Central,45-54,Prefer Not To Say,Business Owner,Bachelor'S,Power Bi,3,Definitely Yes,Poor,Price,Daily,Could use some improvements.,2024-03-09,8,Saturday,March,Medium,28,5,2
Res_0014,2024-03-06 15:05:00,North,18-24,Female,Professional,Phd,Python,4,Definitely Yes,Good,Support,Weekly,Highly recommended for beginners. Python ecosystem is amazing!,2024-03-06,15,Wednesday,March,High,62,5,4
Res_0015,2024-01-09 12:24:00,Central,45-54,Non-Binary,Unemployed,High School,Power Bi,3,Not Sure,Average,Price,Monthly,"It's okay, does the job.",2024-01-09,12,Tuesday,January,Medium,24,3,3
Res_0016,2024-03-28 17:48:00,East,35-44,Male,Business Owner,Phd,R,4,Definitely Yes,Good,Ease Of Use,Daily,Excellent tool for data analysis.,2024-03-28,17,Thursday,March,High,33,5,4
Res_0017,2024-02-28 00:46:00,East,55+,Female,Unemployed,High School,Python,3,Not Sure,Poor,Performance,Weekly,Decent product overall.,2024-02-28,0,Wednesday,February,Medium,23,3,2
Res_0018,2024-03-22 16:38:00,South,25-34,Non-Binary,Professional,Other,Power Bi,5,Definitely Yes,Excellent,Performance,Daily,Highly recommended for beginners.,2024-03-22,16,Friday,March,High,33,5,5
Res_0019,2024-01-01 19:20:00,West,18-24,Male,Business Owner,Master'S,Power Bi,4,Not Sure,Average,Ease Of Use,Rarely,Excellent tool for data analysis.,2024-01-01,19,Monday,January,High,33,3,3
Res_0020,2024-01-08 07:56:00,Central,18-24,Male,Retired,High School,Excel,5,Probably Yes,Poor,Performance,Daily,Highly recommended for beginners.,2024-01-08,7,Monday,January,High,33,4,2
Res_0021,2024-01-17 04:42:00,West,55+,Female,Business Owner,Other,Python,4,Not Sure,Excellent,Price,Weekly,Highly recommended for beginners. Python ecosystem is amazing!,2024-01-17,4,Wednesday,January,High,62,3,5
Res_0022,2024-02-24 06:59:00,Central,25-34,Non-Binary,Retired,Master'S,R,4,Definitely Yes,Good,Security,Daily,Best tool I've used so far.,2024-02-24,6,Saturday,February,High,27,5,4
Res_0023,2024-03-07 14:07:00,South,25-34,Male,Business Owner,High School,Excel,4,Probably No,Very Poor,Performance,Weekly,Highly recommended for beginners.,2024-03-07,14,Thursday,March,High,33,2,1
Res_0024,2024-03-11 07:37:00,South,18-24,Male,Student,Bachelor'S,R,5,Definitely Yes,Excellent,Price,Weekly,"Great product, very user-friendly!",2024-03-11,7,Monday,March,High,34,5,5
Res_0025,2024-01-05 10:04:00,Central,25-34,Non-Binary,Retired,Bachelor'S,Python,5,Definitely Yes,Excellent,Price,Never,Highly recommended for beginners. Python ecosystem is amazing!,2024-01-05,10,Friday,January,High,62,5,5
Res_0026,2024-01-17 23:59:00,Central,55+,Prefer Not To Say,Professional,Phd,R,3,Not Sure,Average,Ease Of Use,Monthly,Works as expected.,2024-01-17,23,Wednesday,January,Medium,18,3,3
Res_0027,2024-01-25 03:06:00,West,35-44,Prefer Not To Say,Retired,Phd,Python,5,Definitely Yes,Excellent,Integration,Daily,"Great product, very user-friendly! Python ecosystem is amazing!",2024-01-25,3,Thursday,January,High,63,5,5
Res_0028,2024-03-27 20:41:00,North,18-24,Prefer Not To Say,Business Owner,High School,Python,5,Definitely Yes,Good,Support,Daily,Excellent tool for data analysis. Python ecosystem is amazing!,2024-03-27,20,Wednesday,March,High,62,5,4
Res_0029,2024-01-25 06:34:00,West,25-34,Prefer Not To Say,Professional,Master'S,R,4,Definitely Yes,Average,Performance,Rarely,Best tool I've used so far.,2024-01-25,6,Thursday,January,High,27,5,3
Res_0030,2024-02-01 02:28:00,Central,18-24,Male,Unemployed,High School,Python,4,Definitely Yes,Excellent,Security,Rarely,"Great product, very user-friendly! Python ecosystem is amazing!",2024-02-01,2,Thursday,February,High,63,5,5
Res_0031,2024-01-31 05:26:00,West,45-54,Female,Retired,High School,Python,4,Definitely Yes,Good,Performance,Daily,Excellent tool for data analysis. Python ecosystem is amazing!,2024-01-31,5,Wednesday,January,High,62,5,4
Res_0032,2024-02-18 00:24:00,East,45-54,Non-Binary,Retired,Other,Power Bi,4,Not Sure,Average,Performance,Daily,Best tool I've used so far.,2024-02-18,0,Sunday,February,High,27,3,3
Res_0033,2024-01-20 06:18:00,South,18-24,Male,Business Owner,High School,Tableau,5,Definitely Yes,Excellent,Integration,Weekly,"Great product, very user-friendly!",2024-01-20,6,Saturday,January,High,34,5,5
Res_0034,2024-03-15 15:32:00,Central,25-34,Male,Unemployed,High School,Python,5,Definitely Yes,Average,Ease Of Use,Daily,Excellent tool for data analysis. Python ecosystem is amazing!,2024-03-15,15,Friday,March,High,62,5,3
Res_0035,2024-01-09 19:04:00,South,45-54,Male,Unemployed,Bachelor'S,Excel,4,Definitely Yes,Average,Performance,Daily,Highly recommended for beginners.,2024-01-09,19,Tuesday,January,High,33,5,3
Res_0036,2024-03-17 01:39:00,North,45-54,Non-Binary,Business Owner,Bachelor'S,Excel,4,Probably Yes,Average,Support,Weekly,Love the features and support.,2024-03-17,1,Sunday,March,High,30,4,3
Res_0037,2024-01-31 08:25:00,South,35-44,Prefer Not To Say,Business Owner,High School,Python,4,Definitely Yes,Very Poor,Price,Rarely,"Great product, very user-friendly! Python ecosystem is amazing!",2024-01-31,8,Wednesday,January,High,63,5,1
Res_0038,2024-02-28 19:36:00,North,18-24,Female,Unemployed,Master'S,Excel,4,Probably Yes,Good,Price,Weekly,Excellent tool for data analysis.,2024-02-28,19,Wednesday,February,High,33,4,4
Res_0039,2024-02-14 02:56:00,South,35-44,Non-Binary,Professional,Phd,Python,4,Definitely Yes,Average,Ease Of Use,Rarely,Highly recommended for beginners. Python ecosystem is amazing!,2024-02-14,2,Wednesday,February,High,62,5,3
Res_0040,2024-03-31 09:39:00,Central,18-24,Non-Binary,Student,Bachelor'S,Spss,5,Not Sure,Good,Ease Of Use,Rarely,Love the features and support.,2024-03-31,9,Sunday,March,High,30,3,4
Res_0041,2024-01-15 03:47:00,Central,25-34,Non-Binary,Business Owner,Other,Excel,4,Definitely Yes,Poor,Performance,Daily,Excellent tool for data analysis.,2024-01-15,3,Monday,January,High,33,5,2
Res_0042,2024-02-13 06:43:00,East,55+,Prefer Not To Say,Business Owner,High School,Excel,3,Definitely No,Average,Price,Daily,"It's okay, does the job.",2024-02-13,6,Tuesday,February,Medium,24,1,3
Res_0043,2024-03-22 13:53:00,East,18-24,Male,Business Owner,Bachelor'S,Excel,5,Probably Yes,Average,Support,Daily,Love the features and support.,2024-03-22,13,Friday,March,High,30,4,3
Res_0044,2024-01-21 23:28:00,Central,45-54,Male,Student,High School,R,3,Probably No,Poor,Integration,Rarely,Could use some improvements.,2024-01-21,23,Sunday,January,Medium,28,2,2
Res_0045,2024-03-10 01:53:00,East,55+,Female,Retired,Bachelor'S,R,4,Probably Yes,Average,Integration,Rarely,"Great product, very user-friendly!",2024-03-10,1,Sunday,March,High,34,4,3
Res_0046,2024-02-09 11:57:00,North,35-44,Female,Professional,High School,Python,4,Definitely Yes,Excellent,Price,Daily,Love the features and support. Python ecosystem is amazing!,2024-02-09,11,Friday,February,High,59,5,5
Res_0047,2024-03-12 13:39:00,South,25-34,Female,Professional,Phd,Excel,3,Not Sure,Excellent,Ease Of Use,Monthly,"It's okay, does the job.",2024-03-12,13,Tuesday,March,Medium,24,3,5
Res_0048,2024-01-23 23:59:00,East,45-54,Female,Business Owner,Bachelor'S,R,4,Definitely Yes,Average,Integration,Daily,"Great product, very user-friendly!",2024-01-23,23,Tuesday,January,High,34,5,3
Res_0049,2024-02-18 01:54:00,West,25-34,Female,Retired,Master'S,Excel,5,Probably Yes,Average,Security,Weekly,Love the features and support.,2024-02-18,1,Sunday,February,High,30,4,3
Res_0050,2024-01-30 07:01:00,South,45-54,Non-Binary,Business Owner,High School,R,4,Probably Yes,Good,Price,Daily,Love the features and support.,2024-01-30,7,Tuesday,January,High,30,4,4
Res_0051,2024-02-14 20:32:00,West,55+,Non-Binary,Student,High School,Python,3,Definitely Yes,Excellent,Ease Of Use,Weekly,Decent product overall.,2024-02-14,20,Wednesday,February,Medium,23,5,5
Res_0052,2024-01-23 18:16:00,North,18-24,Prefer Not To Say,Business Owner,Master'S,Excel,5,Probably Yes,Excellent,Security,Monthly,Best tool I've used so far.,2024-01-23,18,Tuesday,January,High,27,4,5
Res_0053,2024-03-18 16:07:00,West,55+,Female,Business Owner,High School,Excel,2,Not Sure,Good,Integration,Daily,Some features are buggy. Excel is too limiting for big data.,2024-03-18,16,Monday,March,Low,60,3,4
Res_0054,2024-01-01 16:59:00,Central,25-34,Non-Binary,Retired,High School,Python,5,Definitely Yes,Excellent,Integration,Monthly,Love the features and support. Python ecosystem is amazing!,2024-01-01,16,Monday,January,High,59,5,5
Res_0055,2024-03-20 10:42:00,North,35-44,Non-Binary,Retired,Master'S,R,4,Definitely Yes,Excellent,Price,Daily,Best tool I've used so far.,2024-03-20,10,Wednesday,March,High,27,5,5
Res_0056,2024-03-30 09:35:00,South,25-34,Prefer Not To Say,Retired,Bachelor'S,Excel,4,Probably Yes,Excellent,Price,Weekly,Highly recommended for beginners.,2024-03-30,9,Saturday,March,High,33,4,5
Res_0057,2024-03-13 09:25:00,Central,18-24,Non-Binary,Business Owner,Bachelor'S,Excel,4,Definitely Yes,Excellent,Price,Daily,Best tool I've used so far.,2024-03-13,9,Wednesday,March,High,27,5,5
Res_0058,2024-03-15 19:41:00,East,45-54,Prefer Not To Say,Retired,Bachelor'S,Excel,4,Not Sure,Average,Price,Weekly,Highly recommended for beginners.,2024-03-15,19,Friday,March,High,33,3,3
Res_0059,2024-03-01 23:10:00,North,35-44,Non-Binary,Student,Bachelor'S,R,4,Definitely Yes,Very Poor,Integration,Daily,Love the features and support.,2024-03-01,23,Friday,March,High,30,5,1
Res_0060,2024-01-29 06:09:00,North,18-24,Female,Retired,Other,Python,5,Definitely Yes,Excellent,Ease Of Use,Weekly,"Great product, very user-friendly! Python ecosystem is amazing!",2024-01-29,6,Monday,January,High,63,5,5
Res_0061,2024-02-28 13:56:00,Central,25-34,Prefer Not To Say,Retired,Phd,Python,5,Definitely Yes,Poor,Performance,Daily,Excellent tool for data analysis. Python ecosystem is amazing!,2024-02-28,13,Wednesday,February,High,62,5,2
Res_0062,2024-01-19 20:44:00,North,18-24,Prefer Not To Say,Professional,Bachelor'S,Excel,4,Probably Yes,Poor,Support,Monthly,Highly recommended for beginners.,2024-01-19,20,Friday,January,High,33,4,2
Res_0063,2024-02-29 01:35:00,South,18-24,Prefer Not To Say,Professional,Phd,R,4,Probably Yes,Very Poor,Performance,Daily,Highly recommended for beginners.,2024-02-29,1,Thursday,February,High,33,4,1
Res_0064,2024-03-12 19:20:00,West,55+,Prefer Not To Say,Unemployed,Phd,Tableau,3,Probably Yes,Poor,Integration,Weekly,Could use some improvements.,2024-03-12,19,Tuesday,March,Medium,28,4,2
Res_0065,2024-03-01 14:16:00,South,35-44,Prefer Not To Say,Professional,Master'S,Power Bi,3,Definitely No,Average,Integration,Daily,Works as expected.,2024-03-01,14,Friday,March,Medium,18,1,3
Res_0066,2024-01-10 22:18:00,South,35-44,Non-Binary,Business Owner,Other,Power Bi,4,Definitely Yes,Excellent,Security,Daily,"Great product, very user-friendly!",2024-01-10,22,Wednesday,January,High,34,5,5
Res_0067,2024-01-18 04:14:00,West,25-34,Female,Student,Phd,Python,5,Definitely Yes,Excellent,Ease Of Use,Weekly,Best tool I've used so far. Python ecosystem is amazing!,2024-01-18,4,Thursday,January,High,56,5,5
Res_0068,2024-02-12 17:29:00,West,18-24,Female,Retired,Phd,Tableau,5,Probably Yes,Average,Ease Of Use,Weekly,Highly recommended for beginners.,2024-02-12,17,Monday,February,High,33,4,3
Res_0069,2024-03-30 00:54:00,Central,45-54,Prefer Not To Say,Student,Master'S,Python,3,Probably No,Good,Ease Of Use,Daily,Decent product overall.,2024-03-30,0,Saturday,March,Medium,23,2,4
Res_0070,2024-02-19 13:34:00,Central,55+,Female,Retired,Bachelor'S,Power Bi,4,Probably Yes,Excellent,Ease Of Use,Monthly,Love the features and support.,2024-02-19,13,Monday,February,High,30,4,5
Res_0071,2024-02-25 15:01:00,West,35-44,Prefer Not To Say,Professional,Phd,Python,4,Definitely Yes,Excellent,Security,Daily,Excellent tool for data analysis. Python ecosystem is amazing!,2024-02-25,15,Sunday,February,High,62,5,5
Res_0072,2024-03-20 17:01:00,West,55+,Male,Student,Phd,Python,4,Probably Yes,Poor,Security,Monthly,Excellent tool for data analysis. Python ecosystem is amazing!,2024-03-20,17,Wednesday,March,High,62,4,2
Res_0073,2024-02-29 05:03:00,East,45-54,Non-Binary,Professional,Phd,R,2,Definitely No,Excellent,Performance,Daily,Customer support could be better.,2024-02-29,5,Thursday,February,Low,33,1,5
Res_0074,2024-02-13 12:17:00,West,35-44,Male,Retired,High School,R,4,Definitely Yes,Excellent,Ease Of Use,Weekly,Highly recommended for beginners.,2024-02-13,12,Tuesday,February,High,33,5,5
Res_0075,2024-01-07 11:14:00,North,18-24,Male,Professional,Bachelor'S,Excel,4,Definitely Yes,Excellent,Integration,Daily,"Great product, very user-friendly!",2024-01-07,11,Sunday,January,High,34,5,5
Res_0076,2024-03-20 04:15:00,South,45-54,Male,Unemployed,Bachelor'S,Spss,3,Definitely Yes,Very Poor,Ease Of Use,Rarely,Works as expected.,2024-03-20,4,Wednesday,March,Medium,18,5,1
Res_0077,2024-03-30 08:49:00,East,25-34,Male,Professional,Master'S,R,4,Definitely Yes,Average,Support,Weekly,"Great product, very user-friendly!",2024-03-30,8,Saturday,March,High,34,5,3
Res_0078,2024-03-15 00:59:00,East,55+,Prefer Not To Say,Retired,Bachelor'S,Excel,3,Not Sure,Poor,Ease Of Use,Daily,"It's okay, does the job.",2024-03-15,0,Friday,March,Medium,24,3,2
Res_0079,2024-03-16 22:53:00,South,18-24,Non-Binary,Unemployed,High School,Spss,4,Probably Yes,Good,Ease Of Use,Weekly,Highly recommended for beginners.,2024-03-16,22,Saturday,March,High,33,4,4
Res_0080,2024-01-06 11:34:00,West,35-44,Male,Unemployed,Master'S,Python,5,Definitely Yes,Excellent,Security,Never,"Great product, very user-friendly! Python ecosystem is amazing!",2024-01-06,11,Saturday,January,High,63,5,5
Res_0081,2024-02-23 15:06:00,West,35-44,Prefer Not To Say,Professional,Phd,Tableau,3,Probably No,Average,Ease Of Use,Rarely,Could use some improvements.,2024-02-23,15,Friday,February,Medium,28,2,3
Res_0082,2024-03-07 20:17:00,Central,55+,Prefer Not To Say,Retired,Phd,Power Bi,3,Definitely No,Average,Price,Weekly,Average experience.,2024-03-07,20,Thursday,March,Medium,19,1,3
Res_0083,2024-02-04 10:54:00,South,18-24,Non-Binary,Retired,Bachelor'S,Spss,4,Probably Yes,Very Poor,Ease Of Use,Weekly,Best tool I've used so far.,2024-02-04,10,Sunday,February,High,27,4,1
Res_0084,2024-03-13 19:42:00,West,35-44,Male,Retired,Master'S,Python,4,Probably No,Average,Integration,Weekly,Excellent tool for data analysis. Python ecosystem is amazing!,2024-03-13,19,Wednesday,March,High,62,2,3
Res_0085,2024-03-03 06:22:00,East,35-44,Non-Binary,Unemployed,Master'S,R,4,Not Sure,Poor,Security,Never,Highly recommended for beginners.,2024-03-03,6,Sunday,March,High,33,3,2
Res_0086,2024-01-02 16:12:00,North,25-34,Prefer Not To Say,Retired,Other,R,4,Probably Yes,Poor,Integration,Daily,Excellent tool for data analysis.,2024-01-02,16,Tuesday,January,High,33,4,2
Res_0087,2024-03-29 15:41:00,West,45-54,Male,Student,Master'S,R,3,Not Sure,Good,Performance,Daily,Could use some improvements.,2024-03-29,15,Friday,March,Medium,28,3,4
Res_0088,2024-02-21 22:15:00,East,55+,Non-Binary,Retired,Other,Excel,3,Not Sure,Average,Price,Rarely,Average experience.,2024-02-21,22,Wednesday,February,Medium,19,3,3
Res_0089,2024-02-14 13:47:00,Central,35-44,Non-Binary,Retired,Master'S,Excel,4,Definitely Yes,Excellent,Ease Of Use,Monthly,Love the features and support.,2024-02-14,13,Wednesday,February,High,30,5,5
Res_0090,2024-02-02 07:07:00,South,35-44,Male,Unemployed,Bachelor'S,Excel,4,Probably Yes,Good,Ease Of Use,Daily,Excellent tool for data analysis.,2024-02-02,7,Friday,February,High,33,4,4
Res_0091,2024-01-28 23:30:00,East,55+,Non-Binary,Student,Bachelor'S,R,2,Probably No,Poor,Ease Of Use,Weekly,Customer support could be better.,2024-01-28,23,Sunday,January,Low,33,2,2
Res_0092,2024-01-30 11:11:00,East,18-24,Female,Business Owner,High School,Tableau,5,Definitely Yes,Average,Integration,Rarely,"Great product, very user-friendly!",2024-01-30,11,Tuesday,January,High,34,5,3
Res_0093,2024-03-11 09:44:00,South,45-54,Male,Student,Other,Python,4,Definitely Yes,Good,Security,Weekly,Love the features and support. Python ecosystem is amazing!,2024-03-11,9,Monday,March,High,59,5,4
Res_0094,2024-03-01 15:28:00,East,25-34,Male,Business Owner,Phd,R,4,Probably Yes,Good,Ease Of Use,Daily,"Great product, very user-friendly!",2024-03-01,15,Friday,March,High,34,4,4
Res_0095,2024-01-09 12:31:00,North,55+,Male,Professional,Bachelor'S,Python,3,Probably Yes,Poor,Performance,Weekly,Average experience.,2024-01-09,12,Tuesday,January,Medium,19,4,2
Res_0096,2024-02-08 02:15:00,North,55+,Prefer Not To Say,Unemployed,Other,Python,4,Definitely Yes,Excellent,Ease Of Use,Daily,Highly recommended for beginners. Python ecosystem is amazing!,2024-02-08,2,Thursday,February,High,62,5,5
Res_0097,2024-01-29 16:24:00,West,45-54,Non-Binary,Unemployed,Phd,Python,3,Probably Yes,Good,Support,Daily,Decent product overall.,2024-01-29,16,Monday,January,Medium,23,4,4
Res_0098,2024-03-13 19:03:00,Central,18-24,Female,Professional,Master'S,Power Bi,4,Probably Yes,Excellent,Integration,Rarely,"Great product, very user-friendly!",2024-03-13,19,Wednesday,March,High,34,4,5
Res_0099,2024-01-21 07:11:00,Central,18-24,Female,Student,Phd,Python,5,Probably Yes,Excellent,Ease Of Use,Daily,Best tool I've used so far. Python ecosystem is amazing!,2024-01-21,7,Sunday,January,High,56,4,5
Res_0100,2024-03-29 19:30:00,East,18-24,Female,Business Owner,Master'S,R,4,Probably Yes,Good,Price,Monthly,Best tool I've used so far.,2024-03-29,19,Friday,March,High,27,4,4
Res_0101,2024-01-10 21:14:00,East,55+,Female,Retired,High School,Python,4,Not Sure,Average,Price,Daily,Highly recommended for beginners. Python ecosystem is amazing!,2024-01-10,21,Wednesday,January,High,62,3,3
Res_0102,2024-01-29 20:09:00,East,25-34,Male,Student,Bachelor'S,R,4,Definitely Yes,Good,Ease Of Use,Daily,Love the features and support.,2024-01-29,20,Monday,January,High,30,5,4
Res_0103,2024-03-17 23:52:00,Central,35-44,Prefer Not To Say,Student,Phd,Python,4,Definitely Yes,Excellent,Integration,Weekly,Love the features and support. Python ecosystem is amazing!,2024-03-17,23,Sunday,March,High,59,5,5
Res_0104,2024-03-30 12:17:00,Central,55+,Prefer Not To Say,Retired,High School,Tableau,3,Not Sure,Good,Ease Of Use,Weekly,Average experience.,2024-03-30,12,Saturday,March,Medium,19,3,4
Res_0105,2024-01-06 13:47:00,East,55+,Non-Binary,Student,High School,Excel,3,Definitely Yes,Good,Performance,Weekly,Could use some improvements.,2024-01-06,13,Saturday,January,Medium,28,5,4
Res_0106,2024-03-27 18:37:00,North,35-44,Male,Professional,Phd,R,4,Definitely Yes,Very Poor,Price,Daily,Highly recommended for beginners.,2024-03-27,18,Wednesday,March,High,33,5,1
Res_0107,2024-03-24 14:58:00,East,25-34,Prefer Not To Say,Retired,High School,Python,4,Definitely Yes,Excellent,Performance,Daily,Best tool I've used so far. Python ecosystem is amazing!,2024-03-24,14,Sunday,March,High,56,5,5
Res_0108,2024-02-14 13:21:00,East,18-24,Female,Business Owner,Phd,Power Bi,4,Definitely Yes,Average,Price,Never,Best tool I've used so far.,2024-02-14,13,Wednesday,February,High,27,5,3
Res_0109,2024-02-06 21:25:00,Central,18-24,Prefer Not To Say,Student,Master'S,Python,5,Not Sure,Poor,Ease Of Use,Daily,Love the features and support. Python ecosystem is amazing!,2024-02-06,21,Tuesday,February,High,59,3,2
Res_0110,2024-02-11 03:49:00,West,55+,Male,Unemployed,Phd,Tableau,4,Not Sure,Good,Price,Daily,Best tool I've used so far.,2024-02-11,3,Sunday,February,High,27,3,4
Res_0111,2024-01-07 06:33:00,East,55+,Prefer Not To Say,Retired,High School,Tableau,3,Probably Yes,Average,Performance,Daily,Could use some improvements.,2024-01-07,6,Sunday,January,Medium,28,4,3
Res_0112,2024-02-04 17:08:00,East,45-54,Prefer Not To Say,Student,High School,Excel,3,Probably Yes,Average,Ease Of Use,Weekly,Average experience.,2024-02-04,17,Sunday,February,Medium,19,4,3
Res_0113,2024-01-31 22:10:00,East,55+,Male,Unemployed,Phd,R,3,Definitely Yes,Excellent,Security,Daily,"It's okay, does the job.",2024-01-31,22,Wednesday,January,Medium,24,5,5
Res_0114,2024-01-29 03:29:00,North,25-34,Prefer Not To Say,Business Owner,Other,Tableau,4,Definitely Yes,Average,Integration,Weekly,Love the features and support.,2024-01-29,3,Monday,January,High,30,5,3
Res_0115,2024-02-23 15:30:00,South,45-54,Female,Retired,Bachelor'S,Excel,3,Definitely No,Poor,Security,Daily,Average experience.,2024-02-23,15,Friday,February,Medium,19,1,2
Res_0116,2024-03-06 23:56:00,South,18-24,Non-Binary,Retired,Master'S,Tableau,4,Not Sure,Excellent,Ease Of Use,Monthly,Highly recommended for beginners.,2024-03-06,23,Wednesday,March,High,33,3,5
Res_0117,2024-02-04 00:18:00,East,55+,Prefer Not To Say,Professional,Phd,Excel,3,Not Sure,Good,Ease Of Use,Daily,Average experience.,2024-02-04,0,Sunday,February,Medium,19,3,4
Res_0118,2024-03-02 11:21:00,Central,55+,Prefer Not To Say,Retired,Master'S,Power Bi,3,Not Sure,Average,Price,Rarely,Could use some improvements.,2024-03-02,11,Saturday,March,Medium,28,3,3
Res_0119,2024-03-30 07:36:00,West,25-34,Prefer Not To Say,Student,Master'S,Python,4,Definitely Yes,Good,Ease Of Use,Monthly,Best tool I've used so far. Python ecosystem is amazing!,2024-03-30,7,Saturday,March,High,56,5,4
Res_0120,2024-03-31 12:24:00,South,45-54,Male,Professional,Other,Excel,4,Definitely Yes,Poor,Performance,Weekly,Highly recommended for beginners.,2024-03-31,12,Sunday,March,High,33,5,2
Res_0121,2024-02-12 03:55:00,West,18-24,Prefer Not To Say,Student,Bachelor'S,Power Bi,4,Not Sure,Good,Ease Of Use,Daily,Best tool I've used so far.,2024-02-12,3,Monday,February,High,27,3,4
Res_0122,2024-03-24 04:04:00,West,35-44,Non-Binary,Unemployed,Phd,Tableau,4,Probably Yes,Good,Integration,Monthly,"Great product, very user-friendly!",2024-03-24,4,Sunday,March,High,34,4,4
Res_0123,2024-02-12 21:54:00,Central,45-54,Non-Binary,Retired,Other,Python,3,Not Sure,Excellent,Price,Monthly,"It's okay, does the job.",2024-02-12,21,Monday,February,Medium,24,3,5
