response_id,timestamp,region,age_group,gender,occupation,education_level,preferred_tool,satisfaction_rating,would_recommend,support_quality,feature_importance,usage_frequency,feedback
RES_0001,2024-03-22 03:01:00,East,25-34,Female,Professional,High School,R,3,Definitely Yes,Excellent,Integration,Weekly,Average experience.
RES_0002,2024-01-12 18:27:00,North,18-24,Male,Professional,Bachelor's,Excel,4,Definitely Yes,Very Poor,Integration,Daily,Highly recommended for beginners.
RES_0003,2024-03-18 00:35:00,South,55+,Prefer not to say,Professional,PhD,Python,3,Not Sure,Good,Performance,Weekly,Average experience.
RES_0004,2024-02-05 00:48:00,South,45-54,Non-binary,Business Owner,Bachelor's,Python,3,Probably Yes,Good,Price,Monthly,Could use some improvements.
RES_0005,2024-02-13 03:05:00,West,18-24,Non-binary,Business Owner,Other,Python,5,Definitely Yes,Good,Ease of Use,Daily,Love the features and support. Python ecosystem is amazing!
RES_0006,2024-01-06 23:29:00,Central,18-24,Prefer not to say,Student,Other,SPSS,4,Probably No,Poor,Ease of Use,Daily,Love the features and support.
RES_0007,2024-03-21 19:56:00,East,55+,Female,Student,High School,Excel,3,Probably Yes,Excellent,Integration,Daily,Could use some improvements.
RES_0008,2024-02-07 02:54:00,South,18-24,Prefer not to say,Business Owner,PhD,Tableau,5,Definitely Yes,Average,Price,Daily,Love the features and support.
RES_0009,2024-01-21 11:22:00,South,35-44,Male,Unemployed,Bachelor's,SPSS,4,Not Sure,Excellent,Ease of Use,Daily,Highly recommended for beginners.
RES_0010,2024-02-01 05:29:00,West,35-44,Female,Business Owner,High School,Python,5,Definitely Yes,Excellent,Integration,Daily,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0011,2024-01-05 10:25:00,East,18-24,Female,Unemployed,Master's,Python,4,Probably Yes,Excellent,Security,Monthly,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0012,2024-03-24 15:25:00,West,25-34,Non-binary,Professional,Bachelor's,Python,5,Definitely Yes,Average,Support,Monthly,Highly recommended for beginners. Python ecosystem is amazing!
RES_0013,2024-03-09 08:47:00,Central,45-54,Prefer not to say,Business Owner,Bachelor's,Power BI,3,Definitely Yes,Poor,Price,Daily,Could use some improvements.
RES_0014,2024-03-06 15:05:00,North,18-24,Female,Professional,PhD,Python,4,Definitely Yes,Good,Support,Weekly,Highly recommended for beginners. Python ecosystem is amazing!
RES_0015,2024-01-09 12:24:00,Central,45-54,Non-binary,Unemployed,High School,Power BI,3,Not Sure,Average,Price,Monthly,"It's okay, does the job."
RES_0016,2024-03-28 17:48:00,East,35-44,Male,Business Owner,PhD,R,4,Definitely Yes,Good,Ease of Use,Daily,Excellent tool for data analysis.
RES_0017,2024-02-28 00:46:00,East,55+,Female,Unemployed,High School,Python,3,Not Sure,Poor,Performance,Weekly,Decent product overall.
RES_0018,2024-03-22 16:38:00,South,25-34,Non-binary,Professional,Other,Power BI,5,Definitely Yes,Excellent,Performance,Daily,Highly recommended for beginners.
RES_0019,2024-01-01 19:20:00,West,18-24,Male,Business Owner,Master's,Power BI,4,Not Sure,Average,Ease of Use,Rarely,Excellent tool for data analysis.
RES_0020,2024-01-08 07:56:00,Central,18-24,Male,Retired,High School,Excel,5,Probably Yes,Poor,Performance,Daily,Highly recommended for beginners.
RES_0021,2024-01-17 04:42:00,West,55+,Female,Business Owner,Other,Python,4,Not Sure,Excellent,Price,Weekly,Highly recommended for beginners. Python ecosystem is amazing!
RES_0022,2024-02-24 06:59:00,Central,25-34,Non-binary,Retired,Master's,R,4,Definitely Yes,Good,Security,Daily,Best tool I've used so far.
RES_0023,2024-03-07 14:07:00,South,25-34,Male,Business Owner,High School,Excel,4,Probably No,Very Poor,Performance,Weekly,Highly recommended for beginners.
RES_0024,2024-03-11 07:37:00,South,18-24,Male,Student,Bachelor's,R,5,Definitely Yes,Excellent,Price,Weekly,"Great product, very user-friendly!"
RES_0025,2024-01-05 10:04:00,Central,25-34,Non-binary,Retired,Bachelor's,Python,5,Definitely Yes,Excellent,Price,Never,Highly recommended for beginners. Python ecosystem is amazing!
RES_0026,2024-01-17 23:59:00,Central,55+,Prefer not to say,Professional,PhD,R,3,Not Sure,Average,Ease of Use,Monthly,Works as expected.
RES_0027,2024-01-25 03:06:00,West,35-44,Prefer not to say,Retired,PhD,Python,5,Definitely Yes,Excellent,Integration,Daily,"Great product, very user-friendly! Python ecosystem is amazing!"
RES_0028,2024-03-27 20:41:00,North,18-24,Prefer not to say,Business Owner,High School,Python,5,Definitely Yes,Good,Support,Daily,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0029,2024-01-25 06:34:00,West,25-34,Prefer not to say,Professional,Master's,R,4,Definitely Yes,Average,Performance,Rarely,Best tool I've used so far.
RES_0030,2024-02-01 02:28:00,Central,18-24,Male,Unemployed,High School,Python,4,Definitely Yes,Excellent,Security,Rarely,"Great product, very user-friendly! Python ecosystem is amazing!"
RES_0031,2024-01-31 05:26:00,West,45-54,Female,Retired,High School,Python,4,Definitely Yes,Good,Performance,Daily,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0032,2024-02-18 00:24:00,East,45-54,Non-binary,Retired,Other,Power BI,4,Not Sure,Average,Performance,Daily,Best tool I've used so far.
RES_0033,2024-01-20 06:18:00,South,18-24,Male,Business Owner,High School,Tableau,5,Definitely Yes,Excellent,Integration,Weekly,"Great product, very user-friendly!"
RES_0034,2024-03-15 15:32:00,Central,25-34,Male,Unemployed,High School,Python,5,Definitely Yes,Average,Ease of Use,Daily,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0035,2024-01-09 19:04:00,South,45-54,Male,Unemployed,Bachelor's,Excel,4,Definitely Yes,Average,Performance,Daily,Highly recommended for beginners.
RES_0036,2024-03-17 01:39:00,North,45-54,Non-binary,Business Owner,Bachelor's,Excel,4,Probably Yes,Average,Support,Weekly,Love the features and support.
RES_0037,2024-01-31 08:25:00,South,35-44,Prefer not to say,Business Owner,High School,Python,4,Definitely Yes,Very Poor,Price,Rarely,"Great product, very user-friendly! Python ecosystem is amazing!"
RES_0038,2024-02-28 19:36:00,North,18-24,Female,Unemployed,Master's,Excel,4,Probably Yes,Good,Price,Weekly,Excellent tool for data analysis.
RES_0039,2024-02-14 02:56:00,South,35-44,Non-binary,Professional,PhD,Python,4,Definitely Yes,Average,Ease of Use,Rarely,Highly recommended for beginners. Python ecosystem is amazing!
RES_0040,2024-03-31 09:39:00,Central,18-24,Non-binary,Student,Bachelor's,SPSS,5,Not Sure,Good,Ease of Use,Rarely,Love the features and support.
RES_0041,2024-01-15 03:47:00,Central,25-34,Non-binary,Business Owner,Other,Excel,4,Definitely Yes,Poor,Performance,Daily,Excellent tool for data analysis.
RES_0042,2024-02-13 06:43:00,East,55+,Prefer not to say,Business Owner,High School,Excel,3,Definitely No,Average,Price,Daily,"It's okay, does the job."
RES_0043,2024-03-22 13:53:00,East,18-24,Male,Business Owner,Bachelor's,Excel,5,Probably Yes,Average,Support,Daily,Love the features and support.
RES_0044,2024-01-21 23:28:00,Central,45-54,Male,Student,High School,R,3,Probably No,Poor,Integration,Rarely,Could use some improvements.
RES_0045,2024-03-10 01:53:00,East,55+,Female,Retired,Bachelor's,R,4,Probably Yes,Average,Integration,Rarely,"Great product, very user-friendly!"
RES_0046,2024-02-09 11:57:00,North,35-44,Female,Professional,High School,Python,4,Definitely Yes,Excellent,Price,Daily,Love the features and support. Python ecosystem is amazing!
RES_0047,2024-03-12 13:39:00,South,25-34,Female,Professional,PhD,Excel,3,Not Sure,Excellent,Ease of Use,Monthly,"It's okay, does the job."
RES_0048,2024-01-23 23:59:00,East,45-54,Female,Business Owner,Bachelor's,R,4,Definitely Yes,Average,Integration,Daily,"Great product, very user-friendly!"
RES_0049,2024-02-18 01:54:00,West,25-34,Female,Retired,Master's,Excel,5,Probably Yes,Average,Security,Weekly,Love the features and support.
RES_0050,2024-01-30 07:01:00,South,45-54,Non-binary,Business Owner,High School,R,4,Probably Yes,Good,Price,Daily,Love the features and support.
RES_0051,2024-02-14 20:32:00,West,55+,Non-binary,Student,High School,Python,3,Definitely Yes,Excellent,Ease of Use,Weekly,Decent product overall.
RES_0052,2024-01-23 18:16:00,North,18-24,Prefer not to say,Business Owner,Master's,Excel,5,Probably Yes,Excellent,Security,Monthly,Best tool I've used so far.
RES_0053,2024-03-18 16:07:00,West,55+,Female,Business Owner,High School,Excel,2,Not Sure,Good,Integration,Daily,Some features are buggy. Excel is too limiting for big data.
RES_0054,2024-01-01 16:59:00,Central,25-34,Non-binary,Retired,High School,Python,5,Definitely Yes,Excellent,Integration,Monthly,Love the features and support. Python ecosystem is amazing!
RES_0055,2024-03-20 10:42:00,North,35-44,Non-binary,Retired,Master's,R,4,Definitely Yes,Excellent,Price,Daily,Best tool I've used so far.
RES_0056,2024-03-30 09:35:00,South,25-34,Prefer not to say,Retired,Bachelor's,Excel,4,Probably Yes,Excellent,Price,Weekly,Highly recommended for beginners.
RES_0057,2024-03-13 09:25:00,Central,18-24,Non-binary,Business Owner,Bachelor's,Excel,4,Definitely Yes,Excellent,Price,Daily,Best tool I've used so far.
RES_0058,2024-03-15 19:41:00,East,45-54,Prefer not to say,Retired,Bachelor's,Excel,4,Not Sure,Average,Price,Weekly,Highly recommended for beginners.
RES_0059,2024-03-01 23:10:00,North,35-44,Non-binary,Student,Bachelor's,R,4,Definitely Yes,Very Poor,Integration,Daily,Love the features and support.
RES_0060,2024-01-29 06:09:00,North,18-24,Female,Retired,Other,Python,5,Definitely Yes,Excellent,Ease of Use,Weekly,"Great product, very user-friendly! Python ecosystem is amazing!"
RES_0061,2024-02-28 13:56:00,Central,25-34,Prefer not to say,Retired,PhD,Python,5,Definitely Yes,Poor,Performance,Daily,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0062,2024-01-19 20:44:00,North,18-24,Prefer not to say,Professional,Bachelor's,Excel,4,Probably Yes,Poor,Support,Monthly,Highly recommended for beginners.
RES_0063,2024-02-29 01:35:00,South,18-24,Prefer not to say,Professional,PhD,R,4,Probably Yes,Very Poor,Performance,Daily,Highly recommended for beginners.
RES_0064,2024-03-12 19:20:00,West,55+,Prefer not to say,Unemployed,PhD,Tableau,3,Probably Yes,Poor,Integration,Weekly,Could use some improvements.
RES_0065,2024-03-01 14:16:00,South,35-44,Prefer not to say,Professional,Master's,Power BI,3,Definitely No,Average,Integration,Daily,Works as expected.
RES_0066,2024-01-10 22:18:00,South,35-44,Non-binary,Business Owner,Other,Power BI,4,Definitely Yes,Excellent,Security,Daily,"Great product, very user-friendly!"
RES_0067,2024-01-18 04:14:00,West,25-34,Female,Student,PhD,Python,5,Definitely Yes,Excellent,Ease of Use,Weekly,Best tool I've used so far. Python ecosystem is amazing!
RES_0068,2024-02-12 17:29:00,West,18-24,Female,Retired,PhD,Tableau,5,Probably Yes,Average,Ease of Use,Weekly,Highly recommended for beginners.
RES_0069,2024-03-30 00:54:00,Central,45-54,Prefer not to say,Student,Master's,Python,3,Probably No,Good,Ease of Use,Daily,Decent product overall.
RES_0070,2024-02-19 13:34:00,Central,55+,Female,Retired,Bachelor's,Power BI,4,Probably Yes,Excellent,Ease of Use,Monthly,Love the features and support.
RES_0071,2024-02-25 15:01:00,West,35-44,Prefer not to say,Professional,PhD,Python,4,Definitely Yes,Excellent,Security,Daily,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0072,2024-03-20 17:01:00,West,55+,Male,Student,PhD,Python,4,Probably Yes,Poor,Security,Monthly,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0073,2024-02-29 05:03:00,East,45-54,Non-binary,Professional,PhD,R,2,Definitely No,Excellent,Performance,Daily,Customer support could be better.
RES_0074,2024-02-13 12:17:00,West,35-44,Male,Retired,High School,R,4,Definitely Yes,Excellent,Ease of Use,Weekly,Highly recommended for beginners.
RES_0075,2024-01-07 11:14:00,North,18-24,Male,Professional,Bachelor's,Excel,4,Definitely Yes,Excellent,Integration,Daily,"Great product, very user-friendly!"
RES_0076,2024-03-20 04:15:00,South,45-54,Male,Unemployed,Bachelor's,SPSS,3,Definitely Yes,Very Poor,Ease of Use,Rarely,Works as expected.
RES_0077,2024-03-30 08:49:00,East,25-34,Male,Professional,Master's,R,4,Definitely Yes,Average,Support,Weekly,"Great product, very user-friendly!"
RES_0078,2024-03-15 00:59:00,East,55+,Prefer not to say,Retired,Bachelor's,Excel,3,Not Sure,Poor,Ease of Use,Daily,"It's okay, does the job."
RES_0079,2024-03-16 22:53:00,South,18-24,Non-binary,Unemployed,High School,SPSS,4,Probably Yes,Good,Ease of Use,Weekly,Highly recommended for beginners.
RES_0080,2024-01-06 11:34:00,West,35-44,Male,Unemployed,Master's,Python,5,Definitely Yes,Excellent,Security,Never,"Great product, very user-friendly! Python ecosystem is amazing!"
RES_0081,2024-02-23 15:06:00,West,35-44,Prefer not to say,Professional,PhD,Tableau,3,Probably No,Average,Ease of Use,Rarely,Could use some improvements.
RES_0082,2024-03-07 20:17:00,Central,55+,Prefer not to say,Retired,PhD,Power BI,3,Definitely No,Average,Price,Weekly,Average experience.
RES_0083,2024-02-04 10:54:00,South,18-24,Non-binary,Retired,Bachelor's,SPSS,4,Probably Yes,Very Poor,Ease of Use,Weekly,Best tool I've used so far.
RES_0084,2024-03-13 19:42:00,West,35-44,Male,Retired,Master's,Python,4,Probably No,Average,Integration,Weekly,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0085,2024-03-03 06:22:00,East,35-44,Non-binary,Unemployed,Master's,R,4,Not Sure,Poor,Security,Never,Highly recommended for beginners.
RES_0086,2024-01-02 16:12:00,North,25-34,Prefer not to say,Retired,Other,R,4,Probably Yes,Poor,Integration,Daily,Excellent tool for data analysis.
RES_0087,2024-03-29 15:41:00,West,45-54,Male,Student,Master's,R,3,Not Sure,Good,Performance,Daily,Could use some improvements.
RES_0088,2024-02-21 22:15:00,East,55+,Non-binary,Retired,Other,Excel,3,Not Sure,Average,Price,Rarely,Average experience.
RES_0089,2024-02-14 13:47:00,Central,35-44,Non-binary,Retired,Master's,Excel,4,Definitely Yes,Excellent,Ease of Use,Monthly,Love the features and support.
RES_0090,2024-02-02 07:07:00,South,35-44,Male,Unemployed,Bachelor's,Excel,4,Probably Yes,Good,Ease of Use,Daily,Excellent tool for data analysis.
RES_0091,2024-01-28 23:30:00,East,55+,Non-binary,Student,Bachelor's,R,2,Probably No,Poor,Ease of Use,Weekly,Customer support could be better.
RES_0092,2024-01-30 11:11:00,East,18-24,Female,Business Owner,High School,Tableau,5,Definitely Yes,Average,Integration,Rarely,"Great product, very user-friendly!"
RES_0093,2024-03-11 09:44:00,South,45-54,Male,Student,Other,Python,4,Definitely Yes,Good,Security,Weekly,Love the features and support. Python ecosystem is amazing!
RES_0094,2024-03-01 15:28:00,East,25-34,Male,Business Owner,PhD,R,4,Probably Yes,Good,Ease of Use,Daily,"Great product, very user-friendly!"
RES_0095,2024-01-09 12:31:00,North,55+,Male,Professional,Bachelor's,Python,3,Probably Yes,Poor,Performance,Weekly,Average experience.
RES_0096,2024-02-08 02:15:00,North,55+,Prefer not to say,Unemployed,Other,Python,4,Definitely Yes,Excellent,Ease of Use,Daily,Highly recommended for beginners. Python ecosystem is amazing!
RES_0097,2024-01-29 16:24:00,West,45-54,Non-binary,Unemployed,PhD,Python,3,Probably Yes,Good,Support,Daily,Decent product overall.
RES_0098,2024-03-13 19:03:00,Central,18-24,Female,Professional,Master's,Power BI,4,Probably Yes,Excellent,Integration,Rarely,"Great product, very user-friendly!"
RES_0099,2024-01-21 07:11:00,Central,18-24,Female,Student,PhD,Python,5,Probably Yes,Excellent,Ease of Use,Daily,Best tool I've used so far. Python ecosystem is amazing!
RES_0100,2024-03-29 19:30:00,East,18-24,Female,Business Owner,Master's,R,4,Probably Yes,Good,Price,Monthly,Best tool I've used so far.
RES_0101,2024-01-10 21:14:00,East,55+,Female,Retired,High School,Python,4,Not Sure,Average,Price,Daily,Highly recommended for beginners. Python ecosystem is amazing!
RES_0102,2024-01-29 20:09:00,East,25-34,Male,Student,Bachelor's,R,4,Definitely Yes,Good,Ease of Use,Daily,Love the features and support.
RES_0103,2024-03-17 23:52:00,Central,35-44,Prefer not to say,Student,PhD,Python,4,Definitely Yes,Excellent,Integration,Weekly,Love the features and support. Python ecosystem is amazing!
RES_0104,2024-03-30 12:17:00,Central,55+,Prefer not to say,Retired,High School,Tableau,3,Not Sure,Good,Ease of Use,Weekly,Average experience.
RES_0105,2024-01-06 13:47:00,East,55+,Non-binary,Student,High School,Excel,3,Definitely Yes,Good,Performance,Weekly,Could use some improvements.
RES_0106,2024-03-27 18:37:00,North,35-44,Male,Professional,PhD,R,4,Definitely Yes,Very Poor,Price,Daily,Highly recommended for beginners.
RES_0107,2024-03-24 14:58:00,East,25-34,Prefer not to say,Retired,High School,Python,4,Definitely Yes,Excellent,Performance,Daily,Best tool I've used so far. Python ecosystem is amazing!
RES_0108,2024-02-14 13:21:00,East,18-24,Female,Business Owner,PhD,Power BI,4,Definitely Yes,Average,Price,Never,Best tool I've used so far.
RES_0109,2024-02-06 21:25:00,Central,18-24,Prefer not to say,Student,Master's,Python,5,Not Sure,Poor,Ease of Use,Daily,Love the features and support. Python ecosystem is amazing!
RES_0110,2024-02-11 03:49:00,West,55+,Male,Unemployed,PhD,Tableau,4,Not Sure,Good,Price,Daily,Best tool I've used so far.
RES_0111,2024-01-07 06:33:00,East,55+,Prefer not to say,Retired,High School,Tableau,3,Probably Yes,Average,Performance,Daily,Could use some improvements.
RES_0112,2024-02-04 17:08:00,East,45-54,Prefer not to say,Student,High School,Excel,3,Probably Yes,Average,Ease of Use,Weekly,Average experience.
RES_0113,2024-01-31 22:10:00,East,55+,Male,Unemployed,PhD,R,3,Definitely Yes,Excellent,Security,Daily,"It's okay, does the job."
RES_0114,2024-01-29 03:29:00,North,25-34,Prefer not to say,Business Owner,Other,Tableau,4,Definitely Yes,Average,Integration,Weekly,Love the features and support.
RES_0115,2024-02-23 15:30:00,South,45-54,Female,Retired,Bachelor's,Excel,3,Definitely No,Poor,Security,Daily,Average experience.
RES_0116,2024-03-06 23:56:00,South,18-24,Non-binary,Retired,Master's,Tableau,4,Not Sure,Excellent,Ease of Use,Monthly,Highly recommended for beginners.
RES_0117,2024-02-04 00:18:00,East,55+,Prefer not to say,Professional,PhD,Excel,3,Not Sure,Good,Ease of Use,Daily,Average experience.
RES_0118,2024-03-02 11:21:00,Central,55+,Prefer not to say,Retired,Master's,Power BI,3,Not Sure,Average,Price,Rarely,Could use some improvements.
RES_0119,2024-03-30 07:36:00,West,25-34,Prefer not to say,Student,Master's,Python,4,Definitely Yes,Good,Ease of Use,Monthly,Best tool I've used so far. Python ecosystem is amazing!
RES_0120,2024-03-31 12:24:00,South,45-54,Male,Professional,Other,Excel,4,Definitely Yes,Poor,Performance,Weekly,Highly recommended for beginners.
RES_0121,2024-02-12 03:55:00,West,18-24,Prefer not to say,Student,Bachelor's,Power BI,4,Not Sure,Good,Ease of Use,Daily,Best tool I've used so far.
RES_0122,2024-03-24 04:04:00,West,35-44,Non-binary,Unemployed,PhD,Tableau,4,Probably Yes,Good,Integration,Monthly,"Great product, very user-friendly!"
RES_0123,2024-02-12 21:54:00,Central,45-54,Non-binary,Retired,Other,Python,3,Not Sure,Excellent,Price,Monthly,"It's okay, does the job."
RES_0124,2024-03-20 02:15:00,East,25-34,Male,Retired,High School,Power BI,4,Definitely Yes,Poor,Ease of Use,Monthly,"Great product, very user-friendly!"
RES_0125,2024-02-26 05:44:00,East,18-24,Male,Business Owner,High School,Python,5,Definitely Yes,Good,Support,Monthly,Love the features and support. Python ecosystem is amazing!
RES_0126,2024-02-15 11:27:00,South,25-34,Prefer not to say,Unemployed,Bachelor's,Excel,4,Probably Yes,Average,Performance,Daily,Excellent tool for data analysis.
RES_0127,2024-01-23 02:39:00,West,55+,Female,Retired,Other,Python,4,Definitely Yes,Good,Security,Daily,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0128,2024-01-30 14:40:00,East,45-54,Non-binary,Student,PhD,Excel,4,Definitely Yes,Average,Ease of Use,Rarely,Love the features and support.
RES_0129,2024-03-27 17:10:00,North,45-54,Non-binary,Unemployed,Master's,Power BI,4,Not Sure,Average,Ease of Use,Weekly,Best tool I've used so far.
RES_0130,2024-03-29 08:29:00,East,25-34,Prefer not to say,Retired,High School,Excel,4,Definitely Yes,Average,Security,Rarely,Excellent tool for data analysis.
RES_0131,2024-02-18 18:22:00,Central,35-44,Non-binary,Student,PhD,Excel,5,Definitely Yes,Excellent,Ease of Use,Monthly,Love the features and support.
RES_0132,2024-01-02 18:55:00,North,55+,Prefer not to say,Business Owner,Bachelor's,Python,4,Definitely Yes,Good,Price,Rarely,Highly recommended for beginners. Python ecosystem is amazing!
RES_0133,2024-02-15 07:40:00,South,55+,Non-binary,Professional,High School,R,4,Definitely Yes,Good,Performance,Daily,"Great product, very user-friendly!"
RES_0134,2024-02-09 14:02:00,Central,35-44,Female,Student,Master's,Python,4,Definitely Yes,Good,Integration,Daily,Love the features and support. Python ecosystem is amazing!
RES_0135,2024-02-23 05:12:00,South,55+,Non-binary,Unemployed,Other,Excel,3,Definitely No,Excellent,Price,Daily,Decent product overall.
RES_0136,2024-01-22 08:58:00,West,35-44,Non-binary,Student,PhD,SPSS,4,Definitely Yes,Good,Ease of Use,Monthly,"Great product, very user-friendly!"
RES_0137,2024-01-19 07:55:00,West,55+,Non-binary,Student,PhD,Python,4,Definitely Yes,Excellent,Performance,Weekly,"Great product, very user-friendly! Python ecosystem is amazing!"
RES_0138,2024-02-03 17:07:00,West,35-44,Non-binary,Unemployed,PhD,Python,4,Probably Yes,Good,Price,Weekly,Love the features and support. Python ecosystem is amazing!
RES_0139,2024-01-14 21:14:00,West,18-24,Non-binary,Unemployed,Bachelor's,Python,4,Definitely Yes,Poor,Security,Daily,"Great product, very user-friendly! Python ecosystem is amazing!"
RES_0140,2024-03-22 14:58:00,East,45-54,Male,Professional,High School,Python,4,Probably Yes,Good,Ease of Use,Daily,"Great product, very user-friendly! Python ecosystem is amazing!"
RES_0141,2024-02-08 15:07:00,North,25-34,Female,Retired,PhD,Excel,4,Definitely Yes,Excellent,Support,Daily,Love the features and support.
RES_0142,2024-03-26 23:44:00,Central,45-54,Female,Retired,High School,Python,4,Probably Yes,Excellent,Support,Daily,Best tool I've used so far. Python ecosystem is amazing!
RES_0143,2024-03-19 13:17:00,North,35-44,Female,Retired,PhD,Python,5,Not Sure,Average,Price,Weekly,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0144,2024-02-16 03:43:00,East,55+,Non-binary,Student,PhD,Python,3,Probably Yes,Poor,Ease of Use,Daily,Decent product overall.
RES_0145,2024-01-25 03:54:00,West,18-24,Female,Unemployed,High School,Python,4,Not Sure,Average,Performance,Daily,"Great product, very user-friendly! Python ecosystem is amazing!"
RES_0146,2024-02-12 07:08:00,Central,25-34,Male,Unemployed,Bachelor's,Excel,5,Definitely Yes,Good,Price,Weekly,Highly recommended for beginners.
RES_0147,2024-01-28 07:21:00,South,55+,Male,Business Owner,Bachelor's,Excel,2,Definitely No,Average,Ease of Use,Rarely,Too expensive for what it offers. Excel is too limiting for big data.
RES_0148,2024-03-10 08:51:00,South,18-24,Male,Professional,High School,Excel,4,Not Sure,Average,Performance,Daily,Love the features and support.
RES_0149,2024-01-31 18:20:00,North,25-34,Non-binary,Student,Bachelor's,Python,5,Definitely Yes,Excellent,Support,Never,Best tool I've used so far. Python ecosystem is amazing!
RES_0150,2024-03-08 03:47:00,North,45-54,Prefer not to say,Business Owner,Other,R,4,Definitely Yes,Excellent,Ease of Use,Rarely,Highly recommended for beginners.
RES_0151,2024-01-14 14:32:00,South,55+,Male,Unemployed,Master's,Python,3,Not Sure,Average,Integration,Daily,Works as expected.
RES_0152,2024-03-23 00:03:00,West,45-54,Prefer not to say,Student,PhD,Python,4,Definitely Yes,Poor,Integration,Weekly,Best tool I've used so far. Python ecosystem is amazing!
RES_0153,2024-01-10 02:20:00,Central,25-34,Male,Professional,Master's,Excel,3,Definitely No,Good,Performance,Weekly,Average experience.
RES_0154,2024-03-22 18:35:00,East,45-54,Non-binary,Retired,Other,Python,4,Definitely Yes,Average,Ease of Use,Weekly,Highly recommended for beginners. Python ecosystem is amazing!
RES_0155,2024-02-25 03:50:00,North,55+,Female,Retired,PhD,Python,3,Probably Yes,Average,Performance,Weekly,Could use some improvements.
RES_0156,2024-02-22 10:52:00,West,45-54,Prefer not to say,Student,Master's,R,3,Not Sure,Poor,Price,Daily,Works as expected.
RES_0157,2024-02-10 21:16:00,East,25-34,Prefer not to say,Student,High School,Python,5,Definitely Yes,Good,Price,Daily,"Great product, very user-friendly! Python ecosystem is amazing!"
RES_0158,2024-01-12 13:06:00,East,25-34,Male,Unemployed,Other,Tableau,4,Definitely Yes,Excellent,Support,Weekly,Highly recommended for beginners.
RES_0159,2024-02-12 21:07:00,West,35-44,Prefer not to say,Student,Master's,Tableau,3,Probably No,Average,Price,Daily,Average experience.
RES_0160,2024-02-09 11:06:00,Central,55+,Female,Professional,PhD,Excel,3,Probably Yes,Excellent,Integration,Daily,Could use some improvements.
RES_0161,2024-01-14 11:54:00,Central,35-44,Male,Business Owner,Other,SPSS,3,Not Sure,Poor,Support,Monthly,Could use some improvements.
RES_0162,2024-02-24 17:49:00,Central,55+,Male,Unemployed,Master's,Tableau,3,Not Sure,Poor,Performance,Weekly,"It's okay, does the job."
RES_0163,2024-01-24 08:44:00,East,35-44,Non-binary,Student,Bachelor's,Python,5,Definitely Yes,Average,Ease of Use,Rarely,Excellent tool for data analysis. Python ecosystem is amazing!
RES_0164,2024-03-13 21:25:00,North,25-34,Male,Student,Other,SPSS,4,Not Sure,Good,Integration,Monthly,Excellent tool for data analysis.
RES_0165,2024-02-18 13:29:00,East,25-34,Non-binary,Business Owner,Master's,R,3,Definitely Yes,Excellent,Support,Daily,Average experience.
